Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
CORUM:2204~MCM8-ORC2-CDC6 complex,MCM8-ORC2-CDC6 complex,MCM8-ORC2-CDC6 complex,CORUM_COMPLEX,1,100.0,0.001773573751108204,MCM8,1,1,3,1127.6666666666667,0.001773573751108204
GO:0097362~MCM8-MCM9 complex,MCM8-MCM9 complex,"""A hexameric protein complex composed of MCM8 and MCM9 and involved in homologous recombination repair following DNA interstrand cross-links."" [GOC:sp, PMID:22771115, PMID:22771120]",GOTERM_CC_DIRECT,1,25.0,0.007403896017985134,MCM8,4,1,2,2768.625,0.007403896017985134
GO:0035525~NF-kappaB p50/p65 complex,NF-kappaB p50/p65 complex,"""A heterodimer of NF-kappa B p50 and p65 subunits."" [GO:add, PMID:20393192, PMID:9299584]",GOTERM_CC_DIRECT,1,25.0,0.007403896017985134,NFKB1,4,1,2,2768.625,0.007403896017985134
GO:0071159~NF-kappaB complex,NF-kappaB complex,"""A protein complex that consists of a homo- or heterodimer of members of a family of structurally related proteins that contain a conserved N-terminal region called the Rel homology domain (RHD). In the nucleus, NF-kappaB complexes act as transcription factors. In unstimulated cells, NF-kappaB dimers are sequestered in the cytoplasm by IkappaB monomers; signals that induce NF-kappaB activity cause degradation of IkappaB, allowing NF-kappaB dimers to translocate to the nucleus and induce gene expression."" [ISBN:0849327946]",GOTERM_CC_DIRECT,1,25.0,0.009252989729853056,NFKB1,4,1,5,1107.45,0.009252989729853056
GO:0033256~I-kappaB/NF-kappaB complex,I-kappaB/NF-kappaB complex,"""A protein complex containing an inhibitory-kappaB (I-kappaB/IKB) protein and one or more copies of an NF-kappaB protein. In the resting state, NF-kappaB dimers are bound to I-kappaB proteins, sequestering NF-kappaB in the cytoplasm."" [GOC:bf, GOC:mah, PMID:9407099]",GOTERM_CC_DIRECT,1,25.0,0.009252989729853056,NFKB1,4,1,4,1384.3125,0.009252989729853056
GO:0032406~MutLbeta complex binding,MutLbeta complex binding,"""Binding to a MutLbeta mismatch repair complex."" [GOC:vk]",GOTERM_MF_DIRECT,1,25.0,0.013236201879153309,MCM8,4,1,2,2530.75,0.013236201879153309
GO:0032408~MutSbeta complex binding,MutSbeta complex binding,"""Binding to a MutSbeta mismatch repair complex."" [GOC:vk]",GOTERM_MF_DIRECT,1,25.0,0.013236201879153309,MCM8,4,1,2,2530.75,0.013236201879153309
GO:0042555~MCM complex,MCM complex,"""A hexameric protein complex required for the initiation and regulation of DNA replication."" [GOC:jl, PMID:11282021]",GOTERM_CC_DIRECT,1,25.0,0.01627864508757748,MCM8,4,1,11,503.3863636363637,0.01627864508757748
GO:0001217~DNA-binding transcription repressor activity,DNA-binding transcription repressor activity,"""A DNA-binding transcription factor activity that represses or decreases the transcription of specific gene sets."" [GOC:txnOH-2018]",GOTERM_MF_DIRECT,2,50.0,0.01852381856777099,"NFKB1,IRX2",4,2,280,36.15357142857143,0.01852381856777099
"GO:0001227~DNA-binding transcription repressor activity, RNA polymerase II-specific","DNA-binding transcription repressor activity, RNA polymerase II-specific","""A DNA-binding transcription factor activity that represses or decreases the transcription of specific gene sets transcribed by RNA polymerase II."" [GOC:txnOH-2018]",GOTERM_MF_DIRECT,2,50.0,0.01852381856777099,"NFKB1,IRX2",4,2,270,37.492592592592594,0.01852381856777099
GO:0032407~MutSalpha complex binding,MutSalpha complex binding,"""Binding to a MutSalpha mismatch repair complex."" [GOC:vk]",GOTERM_MF_DIRECT,1,25.0,0.01852381856777099,MCM8,4,1,7,723.0714285714286,0.01852381856777099
GO:0005694~chromosome,chromosome,"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]",GOTERM_CC_DIRECT,3,75.0,0.018765109874169596,"NFKB1,IRX2,MCM8",4,3,2001,8.301724137931036,0.018765109874169596
WP:WP4788~Autosomal recessive osteopetrosis pathways,Autosomal recessive osteopetrosis pathways,Autosomal recessive osteopetrosis pathways,WIKIPATHWAYS,1,50.0,0.02107656748343425,NFKB1,2,1,11,397.8181818181818,0.02107656748343425
WP:WP408~Oxidative stress response,Oxidative stress response,Oxidative stress response,WIKIPATHWAYS,1,50.0,0.02107656748343425,NFKB1,2,1,33,132.6060606060606,0.02107656748343425
WP:WP4337~ncRNAs involved in STAT3 signaling in hepatocellular carcinoma,ncRNAs involved in STAT3 signaling in hepatocellular carcinoma,ncRNAs involved in STAT3 signaling in hepatocellular carcinoma,WIKIPATHWAYS,1,50.0,0.02107656748343425,NFKB1,2,1,17,257.4117647058823,0.02107656748343425
