Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
CORUM:918~PAR3-PAR6-PALS1 complex,PAR3-PAR6-PALS1 complex,PAR3-PAR6-PALS1 complex,CORUM_COMPLEX,1,33.33333333333333,0.007090100092797869,PALS1,3,1,3,375.88888888888886,0.007090100092797869
CORUM:460~CRB1-MPP5-INADL complex,CRB1-MPP5-INADL complex,CRB1-MPP5-INADL complex,CORUM_COMPLEX,1,33.33333333333333,0.007090100092797869,PALS1,3,1,3,375.88888888888886,0.007090100092797869
CORUM:461~MPP4-MPP5-CRB1 complex,MPP4-MPP5-CRB1 complex,MPP4-MPP5-CRB1 complex,CORUM_COMPLEX,1,33.33333333333333,0.007090100092797869,PALS1,3,1,3,375.88888888888886,0.007090100092797869
CORUM:7593~AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,CORUM_COMPLEX,1,33.33333333333333,0.008857383544540687,MAPK14,3,1,5,225.53333333333333,0.008857383544540687
"CORUM:846~RICH1/AMOT polarity complex, Flag-Rich1 precipitated","RICH1/AMOT polarity complex, Flag-Rich1 precipitated","RICH1/AMOT polarity complex, Flag-Rich1 precipitated",CORUM_COMPLEX,1,33.33333333333333,0.009439493402691715,PALS1,3,1,8,140.95833333333331,0.009439493402691715
"CORUM:848~RICH1/AMOT polarity complex, Flag-Amot precipitated","RICH1/AMOT polarity complex, Flag-Amot precipitated","RICH1/AMOT polarity complex, Flag-Amot precipitated",CORUM_COMPLEX,1,33.33333333333333,0.009439493402691715,PALS1,3,1,8,140.95833333333331,0.009439493402691715
CORUM:6470~Set1B complex,Set1B complex,Set1B complex,CORUM_COMPLEX,1,33.33333333333333,0.012122131653455501,BOD1L1,3,1,12,93.97222222222221,0.012122131653455501
WP:WP3869~Cannabinoid receptor signaling,Cannabinoid receptor signaling,Cannabinoid receptor signaling,WIKIPATHWAYS,1,50.0,0.02149767177106945,MAPK14,2,1,29,150.89655172413794,0.02149767177106945
WP:WP3668~Hypothesized pathways in pathogenesis of cardiovascular disease,Hypothesized pathways in pathogenesis of cardiovascular disease,Hypothesized pathways in pathogenesis of cardiovascular disease,WIKIPATHWAYS,1,50.0,0.02149767177106945,MAPK14,2,1,25,175.04,0.02149767177106945
WP:WP3646~Hepatitis C and hepatocellular carcinoma,Hepatitis C and hepatocellular carcinoma,Hepatitis C and hepatocellular carcinoma,WIKIPATHWAYS,1,50.0,0.02149767177106945,MAPK14,2,1,56,78.14285714285714,0.02149767177106945
WP:WP3612~Photodynamic therapy induced NFE2L2 NRF2 survival signaling,Photodynamic therapy induced NFE2L2 NRF2 survival signaling,Photodynamic therapy induced NFE2L2 NRF2 survival signaling,WIKIPATHWAYS,1,50.0,0.02149767177106945,MAPK14,2,1,23,190.2608695652174,0.02149767177106945
WP:WP3611~Photodynamic therapy induced AP 1 survival signaling,Photodynamic therapy induced AP 1 survival signaling,Photodynamic therapy induced AP 1 survival signaling,WIKIPATHWAYS,1,50.0,0.02149767177106945,MAPK14,2,1,50,87.52,0.02149767177106945
WP:WP304~Kit receptor signaling,Kit receptor signaling,Kit receptor signaling,WIKIPATHWAYS,1,50.0,0.02149767177106945,MAPK14,2,1,53,82.56603773584906,0.02149767177106945
WP:WP2795~Cardiac hypertrophic response,Cardiac hypertrophic response,Cardiac hypertrophic response,WIKIPATHWAYS,1,50.0,0.02149767177106945,MAPK14,2,1,54,81.03703703703704,0.02149767177106945
