Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
CORUM:6524~DZIP1-GLI3 complex,DZIP1-GLI3 complex,DZIP1-GLI3 complex,CORUM_COMPLEX,1,20.0,0.01181683279863277,DZIP1,5,1,1,676.6,0.01181683279863277
CORUM:6531~CEP164-DZIP1 complex,CEP164-DZIP1 complex,CEP164-DZIP1 complex,CORUM_COMPLEX,1,20.0,0.01181683279863277,DZIP1,5,1,2,338.3,0.01181683279863277
CORUM:6533~DZIP1-IFT88 complex,DZIP1-IFT88 complex,DZIP1-IFT88 complex,CORUM_COMPLEX,1,20.0,0.01181683279863277,DZIP1,5,1,2,338.3,0.01181683279863277
CORUM:6189~ArgRS-GlnRS-AIMP1 complex,ArgRS-GlnRS-AIMP1 complex,ArgRS-GlnRS-AIMP1 complex,CORUM_COMPLEX,1,20.0,0.01328607531681103,RARS1,5,1,3,225.53333333333333,0.01328607531681103
CORUM:6754~KICSTOR complex,KICSTOR complex,KICSTOR complex,CORUM_COMPLEX,1,20.0,0.014163432945381338,ITFG2,5,1,4,169.15,0.014163432945381338
"CORUM:207~Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)","Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)","Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)",CORUM_COMPLEX,1,20.0,0.014744851227611377,ASB2,5,1,5,135.32000000000002,0.014744851227611377
CORUM:1179~CENP-A NAC-CAD complex,CENP-A NAC-CAD complex,CENP-A NAC-CAD complex,CORUM_COMPLEX,1,20.0,0.02289337261855784,CENPL,5,1,13,52.04615384615385,0.02289337261855784
CORUM:3040~Multisynthetase complex,Multisynthetase complex,Multisynthetase complex,CORUM_COMPLEX,1,20.0,0.02289337261855784,RARS1,5,1,10,67.66000000000001,0.02289337261855784
CORUM:7388~CENP-A nucleosomal complex,CENP-A nucleosomal complex,CENP-A nucleosomal complex,CORUM_COMPLEX,1,20.0,0.02289337261855784,CENPL,5,1,13,52.04615384615385,0.02289337261855784
CORUM:7394~CENP-H-I complex,CENP-H-I complex,CENP-H-I complex,CORUM_COMPLEX,1,20.0,0.02289337261855784,CENPL,5,1,11,61.509090909090915,0.02289337261855784
