Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
GO:0033285~ATPase-coupled monocarboxylic acid transmembrane transporter activity,ATPase-coupled monocarboxylic acid transmembrane transporter activity,"""Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + monocarboxylic acid(out/in) = ADP + phosphate + monocarboxylic acid(in/out)."" [GOC:mlg]",GOTERM_MF_DIRECT,1,50.0,0.0060847017593719695,ABCC11,2,1,4,2530.75,0.0060847017593719695
GO:0005011~macrophage colony-stimulating factor receptor activity,macrophage colony-stimulating factor receptor activity,"""Combining with macrophage colony-stimulating factor (M-CSF) receptor ligand and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: ATP + a protein-L-tyrosine = ADP + a protein-L-tyrosine phosphate."" [GOC:mah, GOC:signaling]",GOTERM_MF_DIRECT,1,50.0,0.0060847017593719695,CSF1R,2,1,2,5061.5,0.0060847017593719695
GO:0015432~ABC-type bile acid transporter activity,ABC-type bile acid transporter activity,"""Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: bile acid(in) + ATP + H2O -> bile acid(out) + ADP + phosphate."" [RHEA:50048]",GOTERM_MF_DIRECT,1,50.0,0.0060847017593719695,ABCC11,2,1,4,2530.75,0.0060847017593719695
GO:0033284~ATPase-coupled carboxylic acid transmembrane transporter activity,ATPase-coupled carboxylic acid transmembrane transporter activity,"""Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + carboxylic acid(out/in) = ADP + phosphate + carboxylic acid(in/out)."" [GOC:mlg]",GOTERM_MF_DIRECT,1,50.0,0.0060847017593719695,ABCC11,2,1,4,2530.75,0.0060847017593719695
GO:0033283~ATPase-coupled organic acid transmembrane transporter activity,ATPase-coupled organic acid transmembrane transporter activity,"""Enables the transfer of an organic acid from one side of a membrane to the other according to the reaction: ATP + H2O + organic acid(out/in) = ADP + phosphate + organic acid(in/out)."" [GOC:mlg]",GOTERM_MF_DIRECT,1,50.0,0.0060847017593719695,ABCC11,2,1,4,2530.75,0.0060847017593719695
GO:1990682~CSF1-CSF1R complex,CSF1-CSF1R complex,"""A protein complex consisting of a macrophage colony-stimulating factor (CSF1, also called M-CSF) dimer bound to a dimerized receptor (CSF1R, also called FMS). Receptor dimerization requires the presence of the ligand."" [GOC:bf, GOC:BHF, GOC:nc, PMID:19017797]",GOTERM_CC_DIRECT,1,50.0,0.007043048365033555,CSF1R,2,1,2,5537.25,0.007043048365033555
GO:0015431~ABC-type glutathione S-conjugate transporter activity,ABC-type glutathione S-conjugate transporter activity,"""Catalysis of the reaction: ATP + H2O + glutathione S-conjugate(in) -> ADP + phosphate + glutathione S-conjugate(out)."" [GOC:jl, PMID:1455517, RHEA:19121]",GOTERM_MF_DIRECT,1,50.0,0.009505937550983792,ABCC11,2,1,8,1265.375,0.009505937550983792
GO:0034040~ATPase-coupled lipid transmembrane transporter activity,ATPase-coupled lipid transmembrane transporter activity,"""Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + lipid(in) = ADP + phosphate + lipid(out)."" [GOC:BHF, GOC:rl]",GOTERM_MF_DIRECT,1,50.0,0.009505937550983792,ABCC11,2,1,9,1124.7777777777778,0.009505937550983792
GO:0043225~ATPase-coupled inorganic anion transmembrane transporter activity,ATPase-coupled inorganic anion transmembrane transporter activity,"""Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + inorganic anion(out) = ADP + phosphate + inorganic anion(in)."" [GOC:mlg]",GOTERM_MF_DIRECT,1,50.0,0.009505937550983792,ABCC11,2,1,10,1012.3,0.009505937550983792
GO:0008559~ABC-type xenobiotic transporter activity,ABC-type xenobiotic transporter activity,"""Catalysis of the reaction: ATP + H2O + xenobiotic(in) = ADP + phosphate + xenobiotic(out)."" [EC:7.6.2.2]",GOTERM_MF_DIRECT,1,50.0,0.011828442269522189,ABCC11,2,1,14,723.0714285714286,0.011828442269522189
GO:0015125~bile acid transmembrane transporter activity,bile acid transmembrane transporter activity,"""Enables the transfer of bile acid from one side of a membrane to the other. Bile acids are any of a group of steroid carboxylic acids occurring in bile, where they are present as the sodium salts of their amides with glycine or taurine."" [GOC:ai]",GOTERM_MF_DIRECT,1,50.0,0.015205742886818587,ABCC11,2,1,20,506.15,0.015205742886818587
