Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
GO:1902687~glucosidase complex,glucosidase complex,"""A protein complex which is capable of glucosidase activity."" [GO_REF:0000088, GOC:bhm, GOC:TermGenie, PMID:23826932]",GOTERM_CC_DIRECT,1,50.0,0.002618569263922732,PRKCSH,2,1,2,5537.25,0.002618569263922732
GO:0017177~glucosidase II complex,glucosidase II complex,"""A heterodimeric complex that catalyzes the trimming of glucose residues from N-linked core glycans on newly synthesized glycoproteins."" [PMID:10464333, PMID:8910335]",GOTERM_CC_DIRECT,1,50.0,0.002618569263922732,PRKCSH,2,1,2,5537.25,0.002618569263922732
GO:0060470~positive regulation of cytosolic calcium ion concentration involved in egg activation,positive regulation of cytosolic calcium ion concentration involved in egg activation,"""The process that increases the concentration of calcium ions in the cytosol after fertilization or the physiological activation of an egg."" [GOC:dph]",GOTERM_BP_DIRECT,1,50.0,0.006848663559410717,PLCZ1,2,1,1,10513.0,0.006848663559410717
WP:WP3958~GPR40 role in insulin secretion,GPR40 role in insulin secretion,GPR40 role in insulin secretion,WIKIPATHWAYS,1,100.0,0.006855575868372821,PLCZ1,1,1,15,583.4666666666667,0.006855575868372821
WP:WP5344~Cardiomyocyte signaling converging on titin,Cardiomyocyte signaling converging on titin,Cardiomyocyte signaling converging on titin,WIKIPATHWAYS,1,100.0,0.00746496039000603,PLCZ1,1,1,33,265.2121212121212,0.00746496039000603
WP:WP4971~Phosphoinositides metabolism,Phosphoinositides metabolism,Phosphoinositides metabolism,WIKIPATHWAYS,1,100.0,0.00746496039000603,PLCZ1,1,1,49,178.6122448979592,0.00746496039000603
GO:0061827~sperm head,sperm head,"""The part of the late spermatid or spermatozoon that contains the nucleus and acrosome."" [PMID:22797892, PMID:24665388]",GOTERM_CC_DIRECT,1,50.0,0.013087525826711105,PLCZ1,2,1,20,553.725,0.013087525826711105
GO:0045120~pronucleus,pronucleus,"""The nucleus of either the ovum or the spermatozoon following fertilization. Thus, in the fertilized ovum, there are two pronuclei, one originating from the ovum, the other from the spermatozoon that brought about fertilization; they approach each other, but do not fuse until just before the first cleavage, when each pronucleus loses its membrane to release its contents."" [ISBN:0198506732]",GOTERM_CC_DIRECT,1,50.0,0.013087525826711105,PLCZ1,2,1,15,738.3,0.013087525826711105
REAC:R-HSA-9683686~Maturation of spike protein,Maturation of spike protein,Maturation of spike protein,REACTOME_PATHWAY,1,50.0,0.022714881665575337,PRKCSH,2,1,5,1100.4,0.022714881665575337
REAC:R-HSA-9683701~Translation of Structural Proteins,Translation of Structural Proteins,Translation of Structural Proteins,REACTOME_PATHWAY,1,50.0,0.02397795026052228,PRKCSH,2,1,29,189.72413793103448,0.02397795026052228
REAC:R-HSA-1855204~Synthesis of IP3 and IP4 in the cytosol,Synthesis of IP3 and IP4 in the cytosol,Synthesis of IP3 and IP4 in the cytosol,REACTOME_PATHWAY,1,50.0,0.02397795026052228,PLCZ1,2,1,26,211.6153846153846,0.02397795026052228
REAC:R-HSA-532668~N-glycan trimming in the ER and Calnexin/Calreticulin cycle,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,REACTOME_PATHWAY,1,50.0,0.02397795026052228,PRKCSH,2,1,35,157.20000000000002,0.02397795026052228
REAC:R-HSA-9694548~Maturation of spike protein,Maturation of spike protein,Maturation of spike protein,REACTOME_PATHWAY,1,50.0,0.02397795026052228,PRKCSH,2,1,37,148.7027027027027,0.02397795026052228
REAC:R-HSA-901042~Calnexin/calreticulin cycle,Calnexin/calreticulin cycle,Calnexin/calreticulin cycle,REACTOME_PATHWAY,1,50.0,0.02397795026052228,PRKCSH,2,1,26,211.6153846153846,0.02397795026052228
REAC:R-HSA-879415~Advanced glycosylation endproduct receptor signaling,Advanced glycosylation endproduct receptor signaling,Advanced glycosylation endproduct receptor signaling,REACTOME_PATHWAY,1,50.0,0.02397795026052228,PRKCSH,2,1,13,423.2307692307692,0.02397795026052228
REAC:R-HSA-1483249~Inositol phosphate metabolism,Inositol phosphate metabolism,Inositol phosphate metabolism,REACTOME_PATHWAY,1,50.0,0.027204586119122798,PLCZ1,2,1,48,114.625,0.027204586119122798
"GO:0004435~phosphatidylinositol-4,5-bisphosphate phospholipase C activity","phosphatidylinositol-4,5-bisphosphate phospholipase C activity","""Catalysis of the reaction: a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-4,5-bisphosphate) + H2O = 1D-myo-inositol 1,4,5-trisphosphate + a 1,2-diacyl-sn-glycerol + H+."" [RHEA:33179]",GOTERM_MF_DIRECT,1,50.0,0.02763860773293908,PLCZ1,2,1,26,389.3461538461538,0.02763860773293908
GO:0010314~phosphatidylinositol-5-phosphate binding,phosphatidylinositol-5-phosphate binding,"""Binding to phosphatidylinositol-5-phosphate, a derivative of phosphatidylinositol in which the inositol ring is phosphorylated at the 5' position."" [GOC:bf, GOC:tair_curators]",GOTERM_MF_DIRECT,1,50.0,0.02763860773293908,PLCZ1,2,1,21,482.0476190476191,0.02763860773293908
GO:0005509~calcium ion binding,calcium ion binding,"""Binding to a calcium ion (Ca2+)."" [GOC:ai]",GOTERM_MF_DIRECT,2,100.0,0.02763860773293908,"PLCZ1,PRKCSH",2,2,729,27.772290809327846,0.02763860773293908
GO:0004629~phospholipase C activity,phospholipase C activity,"""Catalysis of the reaction: a phospholipid + H2O = 1,2-diacylglycerol + a phosphatidate."" [GOC:mah]",GOTERM_MF_DIRECT,1,50.0,0.02763860773293908,PLCZ1,2,1,32,316.34375,0.02763860773293908
